Band structure: 

0.0000000000 4.1682888750 
0.0578524659 4.1699661670 
0.1157049318 4.1741047066 
0.1735573977 4.1794832430 
0.2314098636 4.1854760172 
0.2892623295 4.1918020889 
0.3471147954 4.1983210749 
0.4049672613 4.2049530396 
0.4628197272 4.2116473883 
0.5206721930 4.2183694981 
0.5785246589 4.2250942979 
0.6363771248 4.2318028635 
0.6942295907 4.2384804532 
0.7520820566 4.2451152937 
0.8099345225 4.2516977872 
0.8677869884 4.2582199707 
0.9256394543 4.2646751335 
0.9834919202 4.2710575399 
1.0413443861 4.2773622233 
1.0991968520 4.2835848307 
1.1570493179 4.2897215036 
1.2149017838 4.2957687858 
1.2727542497 4.3017235515 
1.3306067156 4.3075829479 
1.3884591815 4.3133443507 
1.4463116474 4.3190053282 
1.5041641133 4.3245636127 
1.5620165791 4.3300170775 
1.6198690450 4.3353637189 
1.6777215109 4.3406016415 
1.7355739768 4.3457290469 
1.7934264427 4.3507442241 
1.8512789086 4.3556455430 
1.9091313745 4.3604314483 
1.9669838404 4.3651004558 
2.0248363063 4.3696511490 
2.0826887722 4.3740821772 
2.1405412381 4.3783922540 
2.1983937040 4.3825801565 
2.2562461699 4.3866447255 
2.3140986358 4.3905848652 
2.3719511017 4.3943995444 
2.4298035676 4.3980877975 
2.4876560335 4.4016487260 
2.5455084993 4.4050815004 
2.6033609652 4.4083853624 
2.6612134311 4.4115596276 
2.7190658970 4.4146036890 
2.7769183629 4.4175170205 
2.8347708288 4.4202991814 
2.8926232947 4.4229498223 
2.9504757606 4.4254686908 
3.0083282265 4.4278556399 
3.0661806924 4.4301106371 
3.1240331583 4.4322337759 
3.1818856242 4.4342252903 
3.2397380901 4.4360855717 
3.2975905560 4.4378151909 
3.3554430219 4.4394149250 
3.4132954878 4.4408857909 
3.4711479537 4.4422290874 
3.5290004196 4.4434464482 
3.5868528854 4.4445399078 
3.6447053513 4.4455119835 
3.7025578172 4.4463657762 
3.7604102831 4.4471050923 
3.8182627490 4.4477345862 
3.8761152149 4.4482599162 
3.9339676808 4.4486878999 
3.9918201467 4.4490266317 
4.0496726126 4.4492855020 
4.1075250785 4.4494750230 
4.1653775444 4.4496063444 
4.2232300103 4.4496903669 
4.2810824762 4.4497364689 
4.3389349421 4.4497510720 
4.3723360788 4.4497920504 
4.4057372156 4.4499147194 
4.4391383523 4.4501182870 
4.4725394891 4.4504014532 
4.5059406259 4.4507624392 
4.5393417626 4.4511990257 
4.5727428994 4.4517085990 
4.6061440361 4.4522882020 
